,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 8. U.S. Imports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
Consumer goods,"55,122","54,617",505,"109,739","100,462","9,277",,,,,,,,,,,,,,,,,,,
Pharmaceutical preparations,"11,471","10,472",999,"21,943","18,817","3,126",,,,,,,,,,,,,,,,,,,
"Furniture, household goods, etc.","3,573","3,150",423,"6,722","6,023",700,,,,,,,,,,,,,,,,,,,
"Apparel, textiles, nonwool or cotton","4,425","4,213",212,"8,638","8,495",143,,,,,,,,,,,,,,,,,,,
"Toys, games, and sporting goods","3,616","3,468",147,"7,084","6,112",972,,,,,,,,,,,,,,,,,,,
"Artwork, antiques, stamps, etc.","1,088",983,105,"2,072","2,072",-1,,,,,,,,,,,,,,,,,,,
Televisions and video equipment,"2,351","2,280",71,"4,631","4,469",162,,,,,,,,,,,,,,,,,,,
"Apparel,household goods-nontextile",911,845,66,"1,756","1,544",212,,,,,,,,,,,,,,,,,,,
Jewelry,"1,202","1,146",56,"2,348","2,349",-1,,,,,,,,,,,,,,,,,,,
"Cookware, cutlery, tools",974,928,47,"1,902","1,762",140,,,,,,,,,,,,,,,,,,,
"Glassware, chinaware",237,214,24,451,413,38,,,,,,,,,,,,,,,,,,,
Other consumer nondurables,"1,338","1,317",20,"2,655","2,577",78,,,,,,,,,,,,,,,,,,,
Rugs,261,243,18,504,478,26,,,,,,,,,,,,,,,,,,,
"Apparel, household goods - cotton","3,712","3,694",18,"7,406","7,179",227,,,,,,,,,,,,,,,,,,,
"Stereo equipment, etc",558,547,11,"1,105","1,057",47,,,,,,,,,,,,,,,,,,,
Toiletries and cosmetics,"1,054","1,044",10,"2,098","1,902",197,,,,,,,,,,,,,,,,,,,
